"name","value","year"
"KA.金融中介業",54370,"1982"
"KB.保險業",16306,"1982"
"KC.證券期貨及其他金融業",422,"1982"
"L 不動產業",99144,"1982"
"LA.不動產業",9531,"1982"
"LB.住宅服務",89613,"1982"
"M 專業、科學及技術服務業",20739,"1982"
"N 支援服務業",11352,"1982"
"NA.租賃業",8430,"1982"
"NB.其他支援服務業",2922,"1982"
"O 公共行政及國防",176597,"1982"
"P 教育服務業",53045,"1982"
"Q 醫療保健及社會工作服務業",16958,"1982"
"QA.醫療保健服務業",16058,"1982"
"QB.社會工作服務業",900,"1982"
"R 藝術、娛樂及休閒服務業",10099,"1982"
"S 其他服務業",43642,"1982"
"SA.對家庭服務之非營利機構",4011,"1982"
"SB.家事服務業",9793,"1982"
"SC.未分類其他服務業",29838,"1982"
"合 計",1876353,"1982"
"進口稅",72368,"1982"
"加值型營業稅",0,"1982"
"總 計(生產面)",1948721,"1982"
"統計差異",-7552,"1982"
"GDP",1941169,"1982"
"補充項目:ICT產業",77904,"1982"
"A 農、林、漁、牧業",156826,"1983"
"AA.農耕業",98505,"1983"
"AB.畜牧業",19926,"1983"
"AC.林業",8643,"1983"
"AD.漁業",29752,"1983"
"B 礦業及土石採取業",37458,"1983"
"C 製造業",729161,"1983"
"CA.食品製造業",54158,"1983"
"CB.飲料及菸草製造業",46109,"1983"
"CC.紡織業",64758,"1983"
"CD.成衣及服飾品製造業",47653,"1983"
"CE.皮革、毛皮及其製品製造業",33944,"1983"
"CF.木竹製品製造業",12576,"1983"
"CG.紙漿、紙及紙製品製造業",19146,"1983"
"CH.印刷及資料儲存媒體複製業",8594,"1983"
"CI.石油及煤製品製造業",32752,"1983"
"CJ.化學材料製造業",45539,"1983"
"CK.化學製品製造業",7361,"1983"
"CL.藥品製造業",2967,"1983"
"CM.橡膠製品製造業",8219,"1983"
"CN.塑膠製品製造業",23110,"1983"
"CO.非金屬礦物製品製造業",32349,"1983"
"CP.基本金屬製造業",35223,"1983"
"CQ.金屬製品製造業",34813,"1983"
"CR.電子零組件製造業",29680,"1983"
"CS.電腦、電子產品及光學製品製造業",31454,"1983"
"CT.電力設備製造業",29937,"1983"
"CU.機械設備製造業",20533,"1983"
"CV.汽車及其零件製造業",23157,"1983"
"CW.其他運輸工具製造業",25582,"1983"
"CX.家具製造業",8944,"1983"
"CY.其他製造業",50603,"1983"
"D 電力及燃氣供應業",71180,"1983"
"DA.電力供應業",69407,"1983"
"DB.氣體燃料供應業",1773,"1983"
"E 用水供應及污染整治業",16755,"1983"
"EA.用水供應業",5897,"1983"
"EB.污染整治業",10858,"1983"
"F 營造業",96133,"1983"
"G 批發及零售業",264876,"1983"
"GA.批發業",127801,"1983"
"GB.零售業",137075,"1983"
"H 運輸及倉儲業",91708,"1983"
"HA.陸上運輸業",53239,"1983"
"HB.水上運輸業",8011,"1983"
"HC.航空運輸業",6055,"1983"
"HD.運輸輔助及倉儲業",20124,"1983"
"HE.郵政及快遞業",4279,"1983"
"I 住宿及餐飲業",23190,"1983"
"IA住宿服務業",6528,"1983"
"IB.餐飲業",16662,"1983"
"J 資訊及通訊傳播業",43411,"1983"
"JA.傳播業",9054,"1983"
"JB.電信業",32759,"1983"
"JC.資訊業",1598,"1983"
"K 金融及保險業",70052,"1983"
"KA.金融中介業",50810,"1983"
"KB.保險業",18035,"1983"
"KC.證券期貨及其他金融業",1207,"1983"
"L 不動產業",114918,"1983"
"LA.不動產業",11948,"1983"
"LB.住宅服務",102970,"1983"
"M 專業、科學及技術服務業",24003,"1983"
"N 支援服務業",11926,"1983"
"NA.租賃業",8561,"1983"
"NB.其他支援服務業",3365,"1983"
"O 公共行政及國防",188064,"1983"
"P 教育服務業",57870,"1983"
"Q 醫療保健及社會工作服務業",19745,"1983"
"QA.醫療保健服務業",18679,"1983"
"QB.社會工作服務業",1066,"1983"
"R 藝術、娛樂及休閒服務業",11074,"1983"
